Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-5661231,"Metallothioneins bind metals",8,16,0.001090438219859606,1.8592450301557761E-6,0.00244304796962469,17,27,0.00208301188088258,9606,Homo sapiens,"4493;4494;4495;4496;4499;4501;4502;4490","","R-HSA-5662614;R-HSA-5662615;R-HSA-5662610;R-HSA-5662608;R-HSA-5662622;R-HSA-5662623;R-HSA-5662621;R-HSA-5662618;R-HSA-5662619;R-HSA-5662617;R-HSA-5662598;R-HSA-5662599;R-HSA-5662596;R-HSA-5662597;R-HSA-5662595;R-HSA-5662986;R-HSA-5662603"
R-HSA-5660526,"Response to metal ions",8,21,0.0014312001635657329,1.3196579785157425E-5,0.008670152918848428,17,31,0.002391606233605925,9606,Homo sapiens,"4493;4494;4495;4496;4499;4501;4502;4490","","R-HSA-5662614;R-HSA-5662615;R-HSA-5662610;R-HSA-5662608;R-HSA-5662622;R-HSA-5662623;R-HSA-5662621;R-HSA-5662618;R-HSA-5662619;R-HSA-5662617;R-HSA-5662598;R-HSA-5662599;R-HSA-5662596;R-HSA-5662597;R-HSA-5662595;R-HSA-5662986;R-HSA-5662603"
R-HSA-383280,"Nuclear Receptor transcription pathway",14,86,0.005861105431745383,1.3704545029891158E-4,0.06002590723092327,2,2,1.5429717636167257E-4,9606,Homo sapiens,"9971;5915;6097;2104;2103;7025;2100;2099;3164;9572;3172","","R-HSA-382096;R-HSA-376419"
R-HSA-75205,"Dissolution of Fibrin Clot",5,14,9.541334423771553E-4,7.468967177099994E-4,0.21385227370185067,15,19,0.0014658231754358896,9606,Homo sapiens,"3249;5345;5327;5328;5329","","R-HSA-158784;R-HSA-158982;R-HSA-158756;R-HSA-158795;R-HSA-158959;R-HSA-158925;R-HSA-158893;R-HSA-158800;R-HSA-158747;R-HSA-158744;R-HSA-159001;R-HSA-158750;R-HSA-158942;R-HSA-158781;R-HSA-159005"
R-HSA-1442490,"Collagen degradation",11,69,0.004702514823144551,8.1623005229714E-4,0.21385227370185067,22,34,0.002623051998148434,9606,Homo sapiens,"7373;1301;4320;9313;4322;4323;4312;1295;4316;1308;4318","","R-HSA-2482180;R-HSA-2168960;R-HSA-1564117;R-HSA-1474196;R-HSA-1474197;R-HSA-1564179;R-HSA-1564112;R-HSA-1564120;R-HSA-1564184;R-HSA-1454822;R-HSA-1454757;R-HSA-1474213;R-HSA-1564164;R-HSA-1474210;R-HSA-2484882;R-HSA-1458433;R-HSA-2168982;R-HSA-1564143;R-HSA-1564142;R-HSA-2168923;R-HSA-2537499;R-HSA-1564169"
R-HSA-2219528,"PI3K/AKT Signaling in Cancer",16,134,0.0091324200913242,0.0013531708835741174,0.26455026643434865,4,21,0.001620120351797562,9606,Homo sapiens,"2246;255324;6004;2100;2099;1839;2065;2263;5920;3164;100132074","","R-HSA-2399988;R-HSA-2399992;R-HSA-2400009;R-HSA-2400010"
R-HSA-8851708,"Signaling by FGFR2 IIIa TM",6,24,0.001635657329789409,0.0014147073071355543,0.26455026643434865,2,2,1.5429717636167257E-4,9606,Homo sapiens,"2246;2263","","R-HSA-8851710;R-HSA-8853320"
R-HSA-190241,"FGFR2 ligand binding and activation",6,26,0.0017719621072718598,0.0021061566623389316,0.3020088645407234,5,5,3.8574294090418145E-4,9606,Homo sapiens,"28984;2246;2263","","R-HSA-190258;R-HSA-5656070;R-HSA-190260;R-HSA-190408;R-HSA-190413"
R-HSA-2022090,"Assembly of collagen fibrils and other multimeric structures",10,67,0.0045662100456621,0.002225893135756052,0.3020088645407234,8,26,0.0020058632927017436,9606,Homo sapiens,"3914;7373;1301;3918;9313;4322;1295;4316;1308;4318","","R-HSA-2213201;R-HSA-2213200;R-HSA-2213205;R-HSA-2213207;R-HSA-2299620;R-HSA-2213192;R-HSA-1474266;R-HSA-2396234"
R-HSA-2219530,"Constitutive Signaling by Aberrant PI3K in Cancer",13,103,0.007019696040346214,0.0023054111797001786,0.3020088645407234,1,2,1.5429717636167257E-4,9606,Homo sapiens,"2246;255324;6004;2100;2099;1839;2065;2263","","R-HSA-2400009"
