# emapper version: emapper-2.0.1 emapper DB: 2.0
# command: ./emapper.py  -i GCF_000963815.1_ASM96381v1_protein.faa --output GCF_000963815.1_ASM96381v1_protein.faa.eggnog -m diamond --target_orthologs all --cpu 14
# time: Tue Jun 16 14:05:02 2020
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	taxonomic scope	eggNOG OGs	best eggNOG OG	COG Functional cat.	eggNOG free text desc.
WP_000002862.1	470.IX87_11745	0.0	1176.4	Moraxellaceae	atuA												Bacteria	1MVR0@1224,1RR9Q@1236,3NM7A@468,COG3185@1,COG3185@2	NA|NA|NA	E	Pfam:DUF1446
WP_000003406.1	470.IX87_16435	5.6e-42	176.4	Moraxellaceae	tusA	GO:0002097,GO:0002098,GO:0002143,GO:0003674,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006732,GO:0006777,GO:0006793,GO:0006796,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0018130,GO:0019538,GO:0019637,GO:0019720,GO:0019725,GO:0034227,GO:0034470,GO:0034641,GO:0034660,GO:0042592,GO:0043170,GO:0043412,GO:0043545,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0048878,GO:0051186,GO:0051188,GO:0051189,GO:0055082,GO:0065007,GO:0065008,GO:0071704,GO:0090304,GO:0090407,GO:0097163,GO:0140104,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576		ko:K04085	ko04122,map04122				ko00000,ko00001,ko01000,ko03016				Bacteria	1MZA5@1224,1S8TC@1236,3NNZ2@468,COG0425@1,COG0425@2	NA|NA|NA	O	Belongs to the sulfur carrier protein TusA family
WP_000003536.1	1144672.F966_01154	3.9e-225	787.3	Gammaproteobacteria													Bacteria	1NJKW@1224,1SJ75@1236,2ENZN@1,33GKI@2	NA|NA|NA		
WP_000003544.1	470.IX87_16330	1.3e-276	958.4	Moraxellaceae	pap												Bacteria	1MVE2@1224,1RM9U@1236,3NIMP@468,COG2326@1,COG2326@2	NA|NA|NA	S	Polyphosphate kinase 2 (PPK2)
WP_000003555.1	470.IX87_04335	4e-199	700.7	Moraxellaceae				ko:K02022,ko:K12542		M00330			ko00000,ko00002,ko02000,ko02044	3.A.1.109.4,8.A.1			Bacteria	1MUI8@1224,1RNK4@1236,3NKF2@468,COG0845@1,COG0845@2	NA|NA|NA	M	HlyD membrane-fusion protein of T1SS
WP_000003701.1	470.IX87_10850	1.2e-214	752.3	Moraxellaceae	bcr			ko:K07552					ko00000,ko02000	2.A.1.2			Bacteria	1MW19@1224,1RMSZ@1236,3NJ83@468,COG0477@1,COG2814@2	NA|NA|NA	EGP	Major facilitator Superfamily
WP_000003709.1	470.IX87_11710	6.5e-75	286.6	Moraxellaceae	sspB	GO:0000502,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0008150,GO:0009376,GO:0009893,GO:0009894,GO:0009896,GO:0010604,GO:0019222,GO:0019899,GO:0031597,GO:0032781,GO:0032991,GO:0042176,GO:0042802,GO:0042803,GO:0043085,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043462,GO:0044093,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0045732,GO:0046983,GO:0048518,GO:0050789,GO:0050790,GO:0051117,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0051336,GO:0051345,GO:0060255,GO:0065007,GO:0065009,GO:0080090,GO:0097159,GO:1901363,GO:1902494,GO:1904949,GO:1905368,GO:1905369,GO:1990904		ko:K03600,ko:K09985					ko00000,ko03021				Bacteria	1MZ2Q@1224,1S8WT@1236,3NN7X@468,COG2969@1,COG2969@2	NA|NA|NA	S	stringent starvation protein B
WP_000003719.1	470.IX87_05765	1.2e-40	172.2	Moraxellaceae	zapA	GO:0000003,GO:0000278,GO:0000281,GO:0000910,GO:0000917,GO:0000921,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006996,GO:0007010,GO:0007049,GO:0008150,GO:0009987,GO:0016043,GO:0019954,GO:0022402,GO:0022414,GO:0022607,GO:0030428,GO:0031106,GO:0032153,GO:0032185,GO:0032505,GO:0032506,GO:0034622,GO:0042802,GO:0043093,GO:0043933,GO:0044085,GO:0044424,GO:0044444,GO:0044464,GO:0051301,GO:0061640,GO:0065003,GO:0070925,GO:0071840,GO:0090529,GO:1902410,GO:1903047		ko:K09888					ko00000,ko03036				Bacteria	1NNRZ@1224,1SI12@1236,3NPD0@468,COG3027@1,COG3027@2	NA|NA|NA	D	Activator of cell division through the inhibition of FtsZ GTPase activity, therefore promoting FtsZ assembly into bundles of protofilaments necessary for the formation of the division Z ring. It is recruited early at mid-cell but it is not essential for cell division
WP_000004112.1	470.IX87_03850	2e-79	301.6	Moraxellaceae	soxR	GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006950,GO:0006979,GO:0008150,GO:0044424,GO:0044464,GO:0048037,GO:0050896,GO:0051536,GO:0051537,GO:0051540		ko:K13639					ko00000,ko03000				Bacteria	1RH2U@1224,1S6M0@1236,3NMGS@468,COG0789@1,COG0789@2	NA|NA|NA	K	helix_turn_helix, mercury resistance
WP_000004228.1	470.IX87_20860	0.0	1639.4	Moraxellaceae	quiA		1.1.5.8	ko:K05358	ko00400,ko01100,ko01110,ko01130,map00400,map01100,map01110,map01130		R01873,R02415	RC00154,RC00206	ko00000,ko00001,ko01000				Bacteria	1MUQX@1224,1RN5D@1236,3NIK6@468,COG4993@1,COG4993@2	NA|NA|NA	G	PQQ-like domain
