# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	95	1492	+					dnaA		ABUW_RS00005	1398		old_locus_tag=ABUW_0001
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	95	1492	+	WP_000964768.1	WP_000964768.1		chromosomal replication initiator protein DnaA	dnaA		ABUW_RS00005	1398	465	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	1590	2738	+							ABUW_RS00010	1149		old_locus_tag=ABUW_0002
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	1590	2738	+	WP_001237350.1	WP_001237350.1		DNA polymerase III subunit beta			ABUW_RS00010	1149	382	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2753	3835	+					recF		ABUW_RS00015	1083		old_locus_tag=ABUW_0003
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2753	3835	+	WP_000550807.1	WP_000550807.1		DNA replication/repair protein RecF	recF		ABUW_RS00015	1083	360	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3888	6356	+					gyrB		ABUW_RS00020	2469		old_locus_tag=ABUW_0004
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	3888	6356	+	WP_000093732.1	WP_000093732.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		ABUW_RS00020	2469	822	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	6394	6786	+					cybC		ABUW_RS00025	393		old_locus_tag=ABUW_0005
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	6394	6786	+	WP_000987632.1	WP_000987632.1		cytochrome b562	cybC		ABUW_RS00025	393	130	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	6870	7427	-							ABUW_RS00030	558		old_locus_tag=ABUW_0006
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	6870	7427	-	WP_001009202.1	WP_001009202.1		VTT domain-containing protein			ABUW_RS00030	558	185	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	7678	9609	-							ABUW_RS00035	1932		old_locus_tag=ABUW_0007
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	7678	9609	-	WP_000613982.1	WP_000613982.1		ATP-binding cassette domain-containing protein			ABUW_RS00035	1932	643	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	9866	10870	+							ABUW_RS00040	1005		old_locus_tag=ABUW_0008
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	9866	10870	+	WP_000746542.1	WP_000746542.1		RND transporter			ABUW_RS00040	1005	334	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	11126	12133	+							ABUW_RS00045	1008		old_locus_tag=ABUW_0009
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	11126	12133	+	WP_000724999.1	WP_000724999.1		hypothetical protein			ABUW_RS00045	1008	335	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	12476	13480	+							ABUW_RS00050	1005		old_locus_tag=ABUW_0010
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	12476	13480	+	WP_001212535.1	WP_001212535.1		hypothetical protein			ABUW_RS00050	1005	334	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	13605	13940	+					erpA		ABUW_RS00055	336		old_locus_tag=ABUW_0011
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	13605	13940	+	WP_000993572.1	WP_000993572.1		iron-sulfur cluster insertion protein ErpA	erpA		ABUW_RS00055	336	111	
